Asset,Split,fast_hl_bars,slow_hl_bars,fast_hl_hours,slow_hl_hours,train_Mean_MAE,validation_Mean_MAE,N,MAE_R,MAE_S,RMSE_R,RMSE_S,Corr_R,Corr_S,Mean_MAE
BTC,train,1,288,0.08333333333333333,24.0,0.005771278863813895,0.004873523871748952,315360,0.005429946128214713,0.006112611599413076,0.00873457939029839,0.009724163955632532,0.9997203230894669,0.9996406084648518,0.005771278863813895
BTC,validation,1,288,0.08333333333333333,24.0,0.005771278863813895,0.004873523871748952,105408,0.0040330444665835075,0.005714003276914396,0.005996235328546426,0.00835668748279788,0.9996266565824482,0.9992573205183933,0.004873523871748952
BTC,test,1,288,0.08333333333333333,24.0,0.005771278863813895,0.004873523871748952,105120,0.003794444328849123,0.0042135887595980024,0.005876614553144503,0.006144023498492605,0.9986920586504777,0.9987144157084227,0.004004016544223563
BTC,recent,1,288,0.08333333333333333,24.0,0.005771278863813895,0.004873523871748952,14357,0.005253548848607033,0.0043000262473601595,0.008020575072308295,0.006287802931267949,0.9979783486636323,0.9990127177021868,0.004776787547983596
ETH,train,1,288,0.08333333333333333,24.0,0.007230068369576972,0.005784820339675614,315360,0.00642868668889115,0.008031450050262795,0.010305341036746182,0.012709392817072387,0.999612017257904,0.9994019494801852,0.007230068369576972
ETH,validation,1,288,0.08333333333333333,24.0,0.007230068369576972,0.005784820339675614,105408,0.005037482639128683,0.006532158040222544,0.007779086780831219,0.010130423956459932,0.9989755061909066,0.9982165570231829,0.005784820339675614
ETH,test,1,288,0.08333333333333333,24.0,0.007230068369576972,0.005784820339675614,105120,0.006565261448850636,0.007183282700610394,0.009867671230115196,0.011091343617901381,0.9994432657386746,0.9993192937497379,0.006874272074730515
ETH,recent,1,288,0.08333333333333333,24.0,0.007230068369576972,0.005784820339675614,14354,0.00805685907669199,0.005974299356888144,0.01277334691618932,0.008697470768771972,0.9979644828402221,0.9991859995481182,0.007015579216790068
XRP,train,1,288,0.08333333333333333,24.0,0.008133742320306017,0.006676370329431491,315360,0.007885765758208265,0.008381718882403768,0.014100227305116743,0.015306683147515142,0.9994527047451658,0.999312809701557,0.008133742320306017
XRP,validation,1,288,0.08333333333333333,24.0,0.008133742320306017,0.006676370329431491,105408,0.005681594370314907,0.0076711462885480745,0.009009227699684201,0.014422957432404654,0.9998056270552048,0.9994367772753384,0.006676370329431491
XRP,test,1,288,0.08333333333333333,24.0,0.008133742320306017,0.006676370329431491,105120,0.006287358411313942,0.007586861138566542,0.009099613263235226,0.011793695533683595,0.9983904229145069,0.9972649432298661,0.0069371097749402425
XRP,recent,1,288,0.08333333333333333,24.0,0.008133742320306017,0.006676370329431491,14397,0.007691862030067983,0.007570116600295832,0.010956993302242384,0.012592983597539298,0.9976293517741198,0.9974188207201845,0.007630989315181908
SOL,train,1,288,0.08333333333333333,24.0,0.011060698883316757,0.008060327626820993,315360,0.009832455354224735,0.01228894241240878,0.015127809636760062,0.020122733822759944,0.9998701316124322,0.9997664822237516,0.011060698883316757
SOL,validation,1,288,0.08333333333333333,24.0,0.011060698883316757,0.008060327626820993,105408,0.006972950892916526,0.009147704360725461,0.010222185010374772,0.01328371038598427,0.9991205116155298,0.9985154604117475,0.008060327626820993
SOL,test,1,288,0.08333333333333333,24.0,0.011060698883316757,0.008060327626820993,105120,0.00808477679355773,0.008119988257798567,0.012213311656647822,0.011963460933052113,0.9982397734671303,0.9983399606522556,0.008102382525678149
SOL,recent,1,288,0.08333333333333333,24.0,0.011060698883316757,0.008060327626820993,14394,0.007894361222623714,0.00671301854363832,0.012507029498288826,0.009775643904743564,0.9981607968179133,0.9990311243956392,0.007303689883131017
