Asset,fast_hl_bars,slow_hl_bars,fast_hl_hours,slow_hl_hours,train_Mean_MAE,validation_Mean_MAE
BTC,1,72,0.08333333333333333,6.0,0.011421181247205562,0.009402930083721643
BTC,1,144,0.08333333333333333,12.0,0.007343969786998571,0.0059830215166652495
BTC,1,288,0.08333333333333333,24.0,0.005771278863813895,0.004873523871748952
BTC,1,576,0.08333333333333333,48.0,0.011712609780648964,0.010317976619731776
BTC,1,1008,0.08333333333333333,84.0,0.021486127871223667,0.018937118464604497
BTC,1,2016,0.08333333333333333,168.0,0.040532062555184864,0.035766739223094354
BTC,3,72,0.25,6.0,0.012319190360825747,0.010162142570290848
BTC,3,144,0.25,12.0,0.008275806277103104,0.0067652668398877356
BTC,3,288,0.25,24.0,0.0065697056861197195,0.0055311958811222195
BTC,3,576,0.25,48.0,0.012143671527024698,0.010649489817388048
BTC,3,1008,0.25,84.0,0.021565096993803903,0.018963797487546754
BTC,3,2016,0.25,168.0,0.04023395675743205,0.035502478983260116
BTC,6,72,0.5,6.0,0.01316039229130831,0.010869764256717807
BTC,6,144,0.5,12.0,0.009140723545643083,0.0074905846161898975
BTC,6,288,0.5,24.0,0.007327217198895799,0.006157854792084015
BTC,6,576,0.5,48.0,0.012584867600675826,0.010996659285856362
BTC,6,1008,0.5,84.0,0.021696515509335407,0.019031543624771146
BTC,6,2016,0.5,168.0,0.040005863849828904,0.0352516102641963
BTC,12,72,1.0,6.0,0.014311440981451836,0.011838587167306205
BTC,12,144,1.0,12.0,0.010306240884395142,0.008474903980394643
BTC,12,288,1.0,24.0,0.008352699182287943,0.007030043663598903
BTC,12,576,1.0,48.0,0.013223637762938717,0.011537317008810707
BTC,12,1008,1.0,84.0,0.021947442568878824,0.01921310770718839
BTC,12,2016,1.0,168.0,0.03980267062624182,0.034967957019971074
BTC,24,72,2.0,6.0,0.015918401167602635,0.0131910162420893
BTC,24,144,2.0,12.0,0.011917172307508514,0.009842816998887918
BTC,24,288,2.0,24.0,0.00978450964574999,0.00825832283106725
BTC,24,576,2.0,48.0,0.014195076297514438,0.012358969127456487
BTC,24,1008,2.0,84.0,0.022423111268713,0.01955536785686737
BTC,24,2016,2.0,168.0,0.03971610245834652,0.03466139982169672
