Asset,Split,n,r2_oos,rmse,corr
BTC,train,315359,0.7712883033964492,0.4510142853905618,0.8782302109335859
BTC,validation,105407,0.8095144090354158,0.4090913017824723,0.899995561073033
BTC,test,105119,0.8069087189328439,0.4128952358915152,0.8985167774552743
BTC,recent,14356,0.8226968509541224,0.4012695821666303,0.9075084985756412
ETH,train,315359,0.7650629815531622,0.44792461769934416,0.8746787876433062
ETH,validation,105407,0.7885678516780354,0.4232191997006312,0.8881158946537665
ETH,test,105119,0.7881456444447797,0.4212524806017742,0.8878743770198011
ETH,recent,14353,0.8029852211964799,0.418516323852891,0.8963583047281936
XRP,train,315359,0.7543791541199941,0.4794474708635152,0.8685500297161902
XRP,validation,105407,0.7631808962730477,0.4806619906632848,0.8736172369242992
XRP,test,105119,0.7967418425722747,0.4186174246706839,0.8929400099816007
XRP,recent,14396,0.8087534640677377,0.4067834584933223,0.8998588986715564
SOL,train,315359,0.7585055227668751,0.448592702999763,0.8709222254408687
SOL,validation,105407,0.7885512072999559,0.40858820602162027,0.8881738820097267
SOL,test,105119,0.7887588415933371,0.4122679705756252,0.8882946773006384
SOL,recent,14393,0.8006064520739253,0.4179311720867432,0.8950954447607363
