gamma,finite_horizon_mean_tau,se,censor_rate
5.000000000000000000e-01,1.720935000000000104e+00,3.755420545106806507e-02,3.000000000000002665e-03
7.727272727272727071e-01,3.478944999999999954e+00,6.319579434344385627e-02,5.800000000000005151e-02
1.045454545454545414e+00,5.886635000000000062e+00,7.658131503371855275e-02,2.740000000000000213e-01
1.318181818181818121e+00,7.734529999999998573e+00,6.920505226628753670e-02,5.589999999999999414e-01
1.590909090909090828e+00,8.482805000000000817e+00,6.041558998093018995e-02,6.935000000000000053e-01
1.863636363636363535e+00,8.718684999999998908e+00,5.670884019856015784e-02,7.404999999999999361e-01
2.136363636363636243e+00,8.773115000000000663e+00,5.566070050024154309e-02,7.495000000000000551e-01
2.409090909090909172e+00,8.775840000000000529e+00,5.558972752319488175e-02,7.495000000000000551e-01
2.681818181818181657e+00,8.775840000000000529e+00,5.558972752319488175e-02,7.495000000000000551e-01
2.954545454545454142e+00,8.775840000000000529e+00,5.558972752319488175e-02,7.495000000000000551e-01
3.227272727272727071e+00,8.775840000000000529e+00,5.558972752319488175e-02,7.495000000000000551e-01
3.500000000000000000e+00,8.775840000000000529e+00,5.558972752319488175e-02,7.495000000000000551e-01
